address,num_txns,first_txn_date,last_txn_date,first_chain,address_chain,first_completion_date,NFT_1,NFT_2,NFT_3,NFT_4,NFT_5,NFT_6,NFT_7,NFT_8,NFT_9,NFT_10,NFT_11,NFT_12,NFT_13,total_nfts
0xefbc9ff5e62628ac140d7e76b88c73ff5fcd86bf,0,,,,,,,,,,,,,,,,,,,
0x3714c0b6f3c69016974db061b534006075225e21,0,,,,,,,,,,,,,,,,,,,
0x841f9b2f645df4755ba8d0391d65e6f2228eab42,0,,,,,,,,,,,,,,,,,,,
0xf24123a9b828c7938a8f69e5b147c31be3f53c56,0,,,,,,,,,,,,,,,,,,,
0xfd9a0d78e304bcca3e40540e74ebb45add521cf0,0,,,,,,,,,,,,,,,,,,,
0xd0610713e98e9fcd1ed5f36db51406deb2dadd1c,0,,,,,,,,,,,,,,,,,,,
0xec2b02b65b010fde82abfb8558b1092052710304,0,,,,,,,,,,,,,,,,,,,
0x39554d8dc8959284872076f0032c172433f2fc77,0,,,,,,,,,,,,,,,,,,,
0xc96ea17290539ef5c50753e7113eaa15bb4a7a89,0,,,,,,,,,,,,,,,,,,,
0x4575bbc96f42b2d56549d6554d9a05ae95ba8364,0,,,,,,,,,,,,,,,,,,,
0xe9e778881132b1b674072b9001e7df8b1dc675df,0,,,,,,,,,,,,,,,,,,,
0xdab3f1ccaad8d4fdf4a1560d3b7f82f011e238bd,0,,,,,,,,,,,,,,,,,,,
0xb48a0e8637d5055f15de4cd6d6edabf43b8536fb,0,,,,,,,,,,,,,,,,,,,
0x3baf3c4b874c76a5b9320e5bbfe0368135c7138c,0,,,,,,,,,,,,,,,,,,,
0xeb9fdb5aafb91e62d579a633d34b1fbc1f7a9766,0,,,,,,,,,,,,,,,,,,,
0x0791b4761db52268a6cbaa8cb6680179afebb1d0,0,,,,,,,,,,,,,,,,,,,
0x0923860716cfea5d62e64b9efa243b1439226147,0,,,,,,,,,,,,,,,,,,,
0x49cec38718ae0aae40f13fa8dd965fc0844e8056,0,,,,,,,,,,,,,,,,,,,
0xb58ccccb4ebb093e7c04c768433ae18254223ffc,0,,,,,,,,,,,,,,,,,,,
0x8ee83599917554c0051794a6b70bd77e75ffec67,0,,,,,,,,,,,,,,,,,,,
0x5a7eb8fd5ac2f9576074dda58f0bc33df9250492,0,,,,,,,,,,,,,,,,,,,
0x4d9a7770d4e767b9017e583fb702e54641a59cfb,0,,,,,,,,,,,,,,,,,,,
0x5f58aab9e1435281bcd4e553a74f05a3a0fa7a01,0,,,,,,,,,,,,,,,,,,,
0xb334c179a4299ae2aa19461d646b63e9f432a2ad,0,,,,,,,,,,,,,,,,,,,
0xb0a3e07dda3b9d9d49413109972f587b140d3540,0,,,,,,,,,,,,,,,,,,,
0x1069ae1cb2fb1124354e43eac286a21fd0f7f84d,0,,,,,,,,,,,,,,,,,,,
0x28df6cd7fec693ce2ab71d7e11a37b6af4c0a542,0,,,,,,,,,,,,,,,,,,,
0xcb7a888d87f2649086be5cd6b10726b05c5d9b68,0,,,,,,,,,,,,,,,,,,,
0x0f1c047a754f8f79353614b1ba42679444096e64,0,,,,,,,,,,,,,,,,,,,
